aluno_id,corte,probabilidade,faixa,situacao,fase_atual,recencia_dias,eventos_7d,eventos_14d,eventos_28d,dias_ativos_7d,dias_ativos_28d,tendencia,capitulo_max_fase_atual,pct_capitulos_fase_atual,progresso_28d,capitulos_distintos_28d,quiz_iniciados_28d,quiz_entregues_28d,entregas_28d,semanas_ativas_ultimas_8,share_noite_28d,share_fim_semana_28d,eventos_acumulados,dias_ativos_acumulados,semanas_desde_primeiro_evento,primeiro_evento,ultimo_evento,fator_1,fator_2,fator_3,fatores,acao_sugerida
Aluno 0194,2026-08-23,0.9874,Alto,Inativo >60d,4,93,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,13,2026-05-22,2026-05-22,93 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 3 de 11 da Fase 4,93 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 3 de 11 da Fase 4,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0176,2026-08-23,0.9867,Alto,Inativo >60d,1,194,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,27,2026-02-09,2026-02-10,194 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 4 de 10 da Fase 1,194 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 4 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0215,2026-08-23,0.9855,Alto,Inativo >60d,2,138,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,21,2026-03-25,2026-04-07,138 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,ativo em apenas 0 das últimas 8 semanas,138 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | ativo em apenas 0 das últimas 8 semanas,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0213,2026-08-23,0.9826,Alto,Inativo >60d,2,121,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,2,17,2026-04-23,2026-04-24,121 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,ativo em apenas 0 das últimas 8 semanas,121 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | ativo em apenas 0 das últimas 8 semanas,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0045,2026-08-23,0.9767,Alto,Inativo >60d,4,73,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,2,13,2026-05-21,2026-06-11,73 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 4 de 11 da Fase 4,73 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 4 de 11 da Fase 4,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0052,2026-08-23,0.9762,Alto,Inativo >60d,1,74,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,10,2026-06-10,2026-06-10,74 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 2 de 10 da Fase 1,74 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 2 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0228,2026-08-23,0.9726,Alto,Inativo 29–60d,4,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,7,2026-07-01,2026-07-01,53 dias sem acesso,nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 11 da Fase 4,53 dias sem acesso | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 11 da Fase 4,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 11 da Fase 4)
Aluno 0221,2026-08-23,0.9714,Alto,Inativo >60d,3,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,10,2026-06-09,2026-06-10,74 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 3,74 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 3,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0220,2026-08-23,0.9714,Alto,Inativo >60d,3,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,10,2026-06-09,2026-06-11,73 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 3,73 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 3,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0047,2026-08-23,0.9669,Alto,Inativo >60d,1,73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,22,2026-03-17,2026-06-11,73 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 1 de 10 da Fase 1,73 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 1 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
