fase,nome_fase,capitulo,titulo,alunos_na_fase,alunos_alcancaram,alunos_alcancaram_prox,alunos_perdidos,taxa_queda,alunos_com_eventos,eventos_total,esforco_mediana_eventos,quiz_entregues,pct_html,pct_pdf,fase_em_andamento,esforco_relativo,indice_atrito
4,Fase 4 - Integração,9,"Cap 9 - Serviços essenciais (FTP, SSH)",153,124,122.0,2.0,0.0161,121,8006,9.0,129,0.925,0.075,False,0.75,0.0121
4,Fase 4 - Integração,10,Cap 10 - Arquiteturas IoT para Aplicações,153,122,120.0,2.0,0.0164,120,8256,11.0,125,0.957,0.043,False,0.917,0.015
4,Fase 4 - Integração,11,Cap 11 - Testes sem sofrimento,153,120,,,,120,14650,12.0,127,0.972,0.028,False,1.0,0.0
5,Fase 5 - Tecnologias,1,Cap 1 -  Soluções em tecnologias emergentes,143,95,82.0,13.0,0.1368,72,7338,19.0,0,0.977,0.023,True,0.717,0.0981
5,Fase 5 - Tecnologias,2,"Cap 2 - Conceitos de Serviços, SOA, microsserviços, MSA",143,82,70.0,12.0,0.1463,72,41133,69.5,53,0.97,0.03,True,2.623,0.3838
5,Fase 5 - Tecnologias,3,Cap 3 - APIs e Integração de Sistemas,143,70,63.0,7.0,0.1,60,36982,125.5,46,0.978,0.022,True,4.0,0.4
5,Fase 5 - Tecnologias,4,Cap 4 - Aprendizado não supervisionado,143,63,55.0,8.0,0.127,57,9474,66.0,39,0.916,0.084,True,2.491,0.3163
5,Fase 5 - Tecnologias,5,Cap 5 - Listas e Consumo de API externa,143,55,47.0,8.0,0.1455,48,4949,22.5,41,0.922,0.078,True,0.849,0.1235
5,Fase 5 - Tecnologias,6,"Cap 6 -  Outros serviços (APACHE, MYSQL)",143,47,45.0,2.0,0.0426,41,3751,29.0,31,0.975,0.025,True,1.094,0.0466
5,Fase 5 - Tecnologias,7,Cap 7 - Desenvolvimento de aplicações,143,45,37.0,8.0,0.1778,41,2935,24.0,38,0.959,0.041,True,0.906,0.161
5,Fase 5 - Tecnologias,8,Cap 8 - Automação de testes,143,37,,,,37,2662,24.0,24,0.874,0.126,True,0.906,0.0
